cfa99114-1c2a-4176-a9a3-a392152356d7,attraqtia,AttraqtiA,"",202,202,single,158,0,1611187203,3.5,false,true,40,75,104,-1,8,14,20,-1,732,1002,1433,-1,Toaster affected by 'CHUNITHM',Toaster affected by 'CHUNITHM',Toaster affected by 'CHUNITHM',"",Enji,Enji,Enji,"",false,false,false,false,かめりあ
21d85b41-7500-46e8-a95d-6cf724927d65,aurgelmir,Aurgelmir,"",122-230,180,single,137,1,1647993600,3.12,false,true,45,75,104,-1,8,14,20,-1,540,765,1100,-1,夜浪,夜浪,夜浪,"","","","","",false,false,false,false,溝口ゆうま feat. 大瀬良あい
2efb3bab-b506-4b81-98b8-aef12e1b1679,auxesia,Auxesia,"",183,183,single,122,0,1502323206,1.1,false,true,35,65,93,-1,6,12,18,-1,385,648,1000,-1,Nitroだー！！,Nitroだー！,Nitroだー！,"",シエラ,シエラ,シエラ,"",false,false,false,false,ginkiha
e147b6ae-9905-4e10-b0eb-345ee895b4e1,avantraze,Avant Raze,"",200,200,single,134,1,1575849600,2.4,false,true,35,65,96,-1,6,12,18,-1,580,727,1125,-1,Avant Toast,Avant Toast,Avant Toast,"",LAM,LAM,LAM,"",false,false,false,false,Sampling Masters MEGA
a8dd216b-430a-404d-a055-6ca007c1b2ba,avril,Ävril -Flicka i krans-,"",130,130,base,162,0,1645056006,3.12,true,false,30,60,83,-1,6,12,16,-1,549,607,851,-1,Aster -Får i Vaaris-,Aster -Får i Vaaris-,Aster -Får i Vaaris-,"",しいたけ,しいたけ,しいたけ,"",false,false,false,false,Rigël Theatre
14e22d8a-b97e-4c51-babf-00d7ba02de1d,axiumcrisis,Axium Crisis,"",170,170,yugamu,151,1,1509667207,1.5,true,true,55,85,109,-1,10,16,21,-1,685,1065,1094,-1,The Monolith,The Monolith,The Monolith,"",シエラ,シエラ,シエラ,"",false,false,false,false,ak+q
ea89afba-4159-40fb-a71b-7c01b17acb18,babaroque,Babaroque,"",136,136,base,149,0,1487980807,1.0,true,false,30,65,85,-1,6,12,16,-1,402,645,808,-1,Toaster,Toaster,Toaster,"","","","","",false,false,false,false,cYsmix
1e247a46-9ff9-4071-aa55-8a44e6bbcc3e,badtek,BADTEK,"",190,190,single,117,1,1597968000,3.1,false,true,40,70,97,-1,8,14,19,-1,532,595,916,-1,Toaster,Toaster,BADTOAST ft. Kurorak,"",トロ3,トロ3,トロ3,"",false,false,false,false,EBIMAYO
4bb177dc-1a88-43ee-b674-8eb450904a0c,bassline,Can I Friend You on Bassbook? Lol,ベースラインやってる？ｗ,128,128,single,146,0,1617926400,3.5,false,true,30,65,93,-1,6,12,18,-1,415,548,861,-1,トースト食べる？笑,トースト食べる？笑,トースト食べる？笑,"","","","","",false,false,false,false,かめりあ feat. ななひら
dfcab29a-885c-425f-94aa-4b5f57c4bcec,battlenoone,BATTLE NO.1,"",200,200,single,132,1,1579046400,2.4,false,true,35,65,97,-1,6,12,19,-1,476,677,1042,-1,Nitro,Nitro,Arcaea Team,"",Hanamori Hiro,Hanamori Hiro,Hanamori Hiro,"",false,false,false,false,TANO*C Sound Team
